1.29338574;	4.98039198
1.30569017;	0.00000000
1.30569017;	0.00000000
1.30569017;	0.00000000
1.30569017;	2.05882359
1.31800270;	5.00000000
1.31800270;	5.00000000
1.31800270;	4.05882359
1.31800270;	0.00000000
1.32615376;	0.00000000
1.32615376;	0.00000000
1.33851540;	5.00000000
1.33851540;	5.00000000
1.33851540;	1.70588231
1.33851540;	0.00000000
1.35080349;	0.00000000
1.35080349;	0.43137255
1.35080349;	5.00000000
1.35080349;	5.00000000
1.36316514;	4.96078444
1.36316514;	0.00000000
1.36316514;	0.00000000
1.36316514;	0.00000000
1.37128341;	2.11764717
1.37128341;	5.00000000
1.37128341;	5.00000000
1.38357961;	4.03921556
1.38357961;	0.00000000
1.38357961;	0.00000000
1.38357961;	0.00000000
1.39579391;	4.76470566
1.39579391;	5.00000000
1.39579391;	5.00000000
1.39579391;	1.64705884
1.40814745;	0.00000000
1.40814745;	0.00000000
1.40814745;	0.56862748
1.40814745;	5.00000000
1.41638863;	5.00000000
1.41638863;	4.98039198
1.41638863;	0.00000000
1.42859471;	0.00000000
1.42859471;	0.00000000
1.42859471;	2.29411769
1.42859471;	5.00000000
1.44090724;	5.00000000
1.44090724;	3.90196085
1.44090724;	0.00000000
1.44090724;	0.00000000
1.45318711;	0.00000000
1.45318711;	4.98039198
1.45318711;	5.00000000
1.45318711;	5.00000000
1.46137083;	1.54901958
1.46137083;	0.00000000
1.46137083;	0.00000000
1.47384727;	0.56862748
1.47384727;	5.00000000
1.47384727;	5.00000000
1.47384727;	4.94117641
1.48603702;	0.00000000
1.48603702;	0.00000000
1.48603702;	0.00000000
1.48603702;	2.47058821
1.49825132;	5.00000000
1.49825132;	5.00000000
1.49825132;	3.84313726
1.49825132;	0.00000000
1.50641048;	0.00000000
1.50641048;	0.00000000
1.50641048;	4.98039198
1.51873124;	5.00000000
1.51873124;	5.00000000
1.51873124;	1.19607842
1.51873124;	0.00000000
1.53104389;	0.00000000
1.53104389;	0.62745100
1.53104389;	5.00000000
1.53104389;	5.00000000
1.54325807;	4.92156839
1.54325807;	0.00000000
1.54325807;	0.00000000
1.54325807;	0.00000000
1.55147469;	2.50980401
1.55147469;	5.00000000
1.55147469;	5.00000000
1.56378722;	3.64705873
1.56378722;	0.00000000
1.56378722;	0.00000000
1.56378722;	0.00000000
1.57609165;	4.98039198
1.57609165;	5.00000000
1.57609165;	5.00000000
1.57609165;	1.33333337
1.58833873;	0.00000000
1.58833873;	0.00000000
1.58833873;	0.74509805
1.58833873;	5.00000000
1.59655523;	5.00000000
1.59655523;	4.94117641
1.59655523;	0.00000000
1.60881054;	0.00000000
1.60881054;	0.00000000
1.60881054;	2.11764717
1.60881054;	5.00000000
1.62109029;	5.00000000
1.62109029;	2.84313726
1.62109029;	0.00000000
1.62109029;	0.00000000
1.63339472;	0.00000000
1.63339472;	4.64705896
1.63339472;	5.00000000
1.63339472;	5.00000000
1.64157856;	0.80392158
1.64157856;	0.00000000
1.64157856;	0.00000000
1.65386653;	1.03921568
1.65386653;	5.00000000
1.65386653;	5.00000000
1.65386653;	4.92156839
1.66623640;	0.00000000
1.66623640;	0.00000000
1.66623640;	0.00000000
1.66623640;	3.23529410
1.67435467;	5.00000000
1.67435467;	5.00000000
1.68665087;	0.00000000
1.68665087;	0.00000000
1.68665087;	0.05882353
1.68665087;	5.00000000
1.69901264;	5.00000000
1.69901264;	5.00000000
1.69901264;	1.41176474
1.69901264;	0.00000000
1.71125150;	0.00000000
1.71125150;	1.03921568
1.71125150;	5.00000000
1.71125150;	5.00000000
1.71945167;	4.90196085
1.71945167;	0.00000000
1.73175609;	0.00000000
1.73175609;	3.41176462
1.73175609;	5.00000000
1.73175609;	5.00000000
1.74404407;	3.50980401
1.74404407;	0.00000000
1.74404407;	0.00000000
1.74404407;	0.09803922
1.75627470;	5.00000000
1.75627470;	5.00000000
1.75627470;	5.00000000
1.75627470;	1.05882359
1.76454043;	0.00000000
1.76454043;	0.00000000
1.77677107;	5.00000000
1.77677107;	5.00000000
1.77677107;	4.86274529
1.77677107;	0.00000000
1.78904271;	0.00000000
1.78904271;	0.00000000
1.78904271;	3.68627453
1.78904271;	5.00000000
1.80162561;	5.00000000
1.80162561;	3.43137264
1.80162561;	0.00000000
1.80162561;	0.00000000
1.80960464;	0.09803922
1.80960464;	5.00000000
1.80960464;	5.00000000
1.82190895;	5.00000000
1.82190895;	0.80392158
1.82190895;	0.00000000
1.82190895;	0.00000000
1.83410692;	1.29411769
1.83410692;	5.00000000
1.83410692;	5.00000000
1.83410692;	4.82352924
1.84649312;	0.00000000
1.84649312;	0.00000000
1.84649312;	0.00000000
1.84649312;	3.54901958
1.85462785;	5.00000000
1.85462785;	5.00000000
1.85462785;	3.07843137
1.86688304;	0.00000000
1.86688304;	0.00000000
1.86688304;	0.07843138
1.86688304;	5.00000000
1.87922847;	5.00000000
1.87922847;	5.00000000
1.87922847;	0.41176471
1.87922847;	0.00000000
1.89146721;	0.00000000
1.89146721;	1.11764705
1.89146721;	5.00000000
1.89146721;	5.00000000
1.89966750;	4.72549009
1.89966750;	0.00000000
1.89966750;	0.00000000
1.91202104;	0.00000000
1.91202104;	3.35294127
1.91202104;	5.00000000
1.91202104;	5.00000000
1.92422712;	2.78431368
1.92422712;	0.00000000
1.92422712;	0.00000000
1.92422712;	0.07843138
1.93650687;	5.00000000
1.93650687;	5.00000000
1.93650687;	5.00000000
1.93650687;	0.03921569
1.94470704;	0.00000000
1.94470704;	0.00000000
1.94470704;	1.27450979
1.95700324;	5.00000000
1.95700324;	5.00000000
1.95700324;	4.68627453
1.95700324;	0.00000000
1.96934855;	0.00000000
1.96934855;	0.00000000
1.96934855;	3.56862736
1.96934855;	5.00000000
1.98160386;	5.00000000
1.98160386;	2.78431368
1.98160386;	0.00000000
1.98160386;	0.00000000
1.98976302;	0.09803922
1.98976302;	5.00000000
1.98976302;	5.00000000
2.00213289;	5.00000000
2.00213289;	0.11764706
2.00213289;	0.00000000
2.00213289;	0.00000000
2.01443744;	1.31372547
2.01443744;	5.00000000
2.01443744;	5.00000000
2.01443744;	4.60784292
2.02661896;	0.00000000
2.02661896;	0.00000000
2.02661896;	0.00000000
2.02661896;	3.74509811
2.03486824;	5.00000000
2.03486824;	5.00000000
2.03486824;	2.52941179
2.04732013;	0.00000000
2.04732013;	0.00000000
2.04732013;	0.13725491
2.04732013;	5.00000000
2.05941153;	5.00000000
2.05941153;	4.98039198
2.05941153;	0.00000000
2.05941153;	0.00000000
2.07167482;	0.00000000
2.07167482;	1.39215684
2.07167482;	5.00000000
2.07167482;	5.00000000
2.07998157;	4.52941179
2.07998157;	0.00000000
2.07998157;	0.00000000
2.09217954;	0.00000000
2.09217954;	3.82352948
2.09217954;	5.00000000
2.09217954;	5.00000000
2.10446739;	2.49019599
2.10446739;	0.00000000
2.10446739;	0.00000000
2.10446739;	0.21568628
2.11680460;	5.00000000
2.11680460;	5.00000000
2.11680460;	4.98039198
2.11680460;	0.00000000
2.12520146;	0.00000000
2.12520146;	0.00000000
2.12520146;	1.52941179
2.13729286;	5.00000000
